Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
26;M;2016;Elliot;26
5;F;2016;Elona;5
11;F;2016;Farah;11
5;F;2016;Fatim;5
50;M;2016;Gabin;50
115;F;2016;Gabrielle;115
31;F;2016;Hawa;31
10;F;2016;Isabelle;10
9;F;2016;Jane;9
13;F;2016;Jenna;13
8;F;2016;Jessica;8
6;F;2016;Karen;6
5;F;2016;Keren;5
6;F;2016;Kheira;6
6;M;2016;Laurent;6
5;F;2016;Leya;5
9;M;2016;Louay;9
6;F;2016;Lyse;6
7;M;2016;Macéo;7
7;F;2016;Mame;7
44;M;2016;Marin;44
9;M;2016;Matias;9
5;F;2016;Mélia;5
6;M;2016;Michaël;6
184;M;2016;Mohamed;184
7;M;2016;Mohammad;7
8;F;2016;Naëlle;8
6;M;2016;Nahel;6
35;F;2016;Naomi;35
5;F;2016;Nesrine;5
10;F;2016;Nine;10
7;F;2016;Oona;7
9;F;2016;Rebecca;9
6;F;2016;Rokia;6
22;F;2016;Rosalie;22
7;M;2016;Roy;7
8;F;2016;Sacha;146
15;F;2016;Sana;15
7;F;2016;Scarlett;7
5;M;2016;Seydou;5
6;F;2016;Simone;6
16;M;2016;Sofiane;16
29;F;2016;Soline;29
6;M;2016;Stéphane;6
5;M;2016;Valère;5
7;F;2016;Viktoria;7
9;M;2016;Vladimir;9
5;F;2016;Yakine;5
10;M;2016;Younès;10
318;M;2017;Adam;318
6;F;2017;Aïssatou;6
87;F;2017;Alma;87
40;F;2017;Aminata;40
6;M;2017;Angelo;6
9;F;2017;April;9
6;M;2017;Arnaud;6
9;F;2017;Avril;9
34;M;2017;Ayden;34
7;M;2017;Bradley;7
13;M;2017;Constantin;13
5;F;2017;Cyrine;5
26;M;2017;Djibril;26
5;F;2017;Elikya;5
12;F;2017;Eline;12
30;F;2017;Élise;30
7;F;2017;Emily;7
29;M;2017;Esteban;29
7;M;2017;Fabio;7
7;F;2017;Fatimata;7
53;M;2017;Gabin;53
6;F;2017;Gala;6
8;M;2017;Gauthier;8
5;M;2017;Grégory;5
5;M;2017;Habib;5
